step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,4098,2,0.37793543519464934,0.0,0.6413043478260869,0.43285050451144347,0.0,0.4,,
2,8196,4,0.2922026804855256,0.0,0.6228373702422145,,,,,
3,12294,6,0.3917613310192773,0.0,0.75,,,,,
4,16392,8,0.3573186202155964,0.0,0.7364620938628159,,,,,
5,20490,10,0.2618345680491323,0.0,0.7228070175438597,,,,,
6,24588,12,0.22608950786041304,0.0,0.7314487632508834,,,,,
7,28686,14,0.28185703200202494,0.0,0.7262773722627737,,,,,
8,32784,16,0.2536142907303083,0.0,0.7330960854092526,,,,,
9,36882,18,0.21829710198162255,0.0,0.7554744525547445,,,,,
10,40980,20,0.21864224432325857,0.0,0.7482014388489209,,,,,
11,45078,22,0.2079294399452698,0.0,0.7578947368421053,,,,,
12,49176,24,0.20023490966642532,0.0,0.7657342657342657,,,,,
13,53274,26,0.18996936823942828,0.0,0.7435897435897436,,,,,
14,57372,28,0.1985291975444216,0.0,0.7345454545454545,,,,,
15,61470,30,0.18948890915095695,0.0,0.7686832740213523,,,,,
16,65568,32,0.19641141499548365,0.0,0.7545126353790613,,,,,
17,69666,34,0.19442570946400312,0.0,0.7410071942446043,,,,,
18,73764,36,0.18512542952574293,0.0,0.7903780068728522,,,,,
19,77862,38,0.18872075640126199,0.0,0.7714285714285715,,,,,
20,81960,40,0.18521506382440472,0.0,0.7684210526315789,,,,,
21,86058,42,0.1916814486717806,0.0,0.7881944444444444,,,,,
22,90156,44,0.18103539127959642,0.0,0.7636986301369864,,,,,
23,94254,46,0.1863801066736565,0.0,0.7843866171003717,,,,,
24,98352,48,0.1869114283225289,0.0,0.7597173144876325,,,,,
25,102450,50,0.18716711643491335,0.0,0.7553191489361702,,,,,
26,106548,52,0.18532938641410907,0.0,0.7824561403508772,,,,,
27,110646,54,0.17940129584419795,0.0,0.7737226277372263,,,,,
28,114744,56,0.1831124122715316,0.0,0.8315412186379928,,,,,
29,118842,58,0.18507401742417987,0.0,0.8260869565217391,,,,,
30,122940,60,0.1821475002081684,0.0,0.778169014084507,,,,,
31,127038,62,0.18582307249112306,0.0,0.8512110726643599,,,,,
32,131136,64,0.18010161723245113,0.0,0.7727272727272727,,,,,
33,135234,66,0.1796449749218433,0.0,0.8351254480286738,,,,,
34,139332,68,0.1729389926375231,0.0,0.8683274021352313,,,,,
35,143430,70,0.16985360823707735,0.0,0.8633093525179856,,,,,
36,147528,72,0.17231724031964687,0.0,0.9182156133828996,,,,,
37,151626,74,0.16523427596755166,0.0,0.9337979094076655,,,,,
38,155724,76,0.17527555824027918,0.0,0.8969072164948454,,,,,
39,159822,78,0.17016924458698923,0.0,0.9180887372013652,,,,,
40,163920,80,0.1755770041578851,0.0,0.8657718120805369,,,,,
41,168018,82,0.17839799043908144,0.0,0.8947368421052632,,,,,
42,172116,84,0.17563365515605878,0.0,0.8782287822878229,,,,,
43,176214,86,0.17150140857133583,0.0,0.900355871886121,,,,,
44,180312,88,0.16744137186065514,0.0,0.9175257731958762,,,,,
45,184410,90,0.17342313388024055,0.0,0.9061371841155235,,,,,
46,188508,92,0.16600412682611346,0.0,0.8854166666666666,,,,,
47,192606,94,0.1622556446006551,0.0,0.925531914893617,,,,,
48,196704,96,0.16433779546688287,0.0,0.9438596491228071,,,,,
49,200802,98,0.16357946091919584,0.0,0.9263157894736842,,,,,
50,204900,100,0.1662776938340651,0.0,0.9280575539568345,,,,,
